name,alasan
cingloy,Nama bukan nama menu
coconut milk with kluwih muda belu,Nama bukan nama menu
coklat,Bahan / topping / bukan hidangan utuh
coklat beng beng,Bahan / topping / bukan hidangan utuh
coklat cha-cha,Bahan / topping / bukan hidangan utuh
daging babi goreng,Non-halal / satwa liar
daging telur,Daging / ikan mentah (bukan hidangan)
donat,nama ganda di dalam sumber
emping melinjo mentah,Tepung / bahan mentah
empon,Nama bukan nama menu
es cuwing,Minuman
es dawet/cendol,Minuman
es krim solo,Minuman
es krim walls,Minuman
es miami,Minuman
es nong nong,Minuman
fruittella,Gula / pemanis
fuji mie/mi instan/tiga putra,Nama bukan nama menu
fujimie (terigu. tapioka. garam. gula.,Nama bukan nama menu
garam,Bumbu / rempah / penyedap
